	MachineNumber	machine_type_basename	FakeCountry	SiteId	SiteNumber	SiteName1	sq_hr	price_euro	type	size	overutilization	swap_up_with	swap_down_with	usageMedian	usageQ3	usageQ1	assetUti	utilization	relocated	contract	cost_negot	other_available	other_in_proximity	bigger_fit_doors	storage_closet	skills_in_team	recommendation	upgrade_to	downgrade_to	reasons	quant_underutilized	quant_overutilized
24	301358359	swingo 455	Belgium	52632	1718718	Vlaams Parlement (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	26.4	28.2	24.599999999999998	0.677215189873		0	0	0	0	1	1	1	1				['contract', 'cost_negot', 'other_available']		
25	10552	swingo 455	Norway	54354	10552	Statens Veivesen Vadsø	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	10.799999999999999	12.0	9.0	0.125	under	0	1	1	0	1	1	0	1				['other_available', 'storage_closet']	1642.2	
26	301389564	swingo 455	Netherlands	54263	2284983	Politie loc. Hosbekkeweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	50.4	148.35000000000002	6.450000000000001	0.11320754717	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
27	301389146	swingo 455	Belgium	54058	2238265	Sporthal Loerenboske (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	13.2	14.399999999999999	12.0	0.35652173913		0	1	1	0	1	1	1	1				['other_available']		
28	10502	swingo 455	Norway	54189	10502	Coop Prix Brøstadbotn	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	12.6	15.0	10.200000000000001	0.538461538462		0	1	1	0	1	1	1	1				['other_available']		
29	10498	swingo 455	Norway	53309	10372	Coop Mega Alexander Kj.plass	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	89.4	128.85	79.80000000000001	0.530120481928	over	0	1	1	0	1	1	1	0				['other_available', 'skills_in_team']		
30	10526	swingo 455	Norway	54218	10526	Åkra Sokneråds Barnehage	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	15.0	17.4	13.2	0.359649122807		0	1	1	0	1	1	1	1				['other_available']		
31	10495	swingo 455	Norway	54167	10495	Entra Eiendom	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	24.599999999999998	28.2	18.6	0.318584070796		0	1	1	1	1	1	1	1						
32	10536	swingo 455	Norway	54293	10536	Coop Extra Rosenborg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	124.19999999999999	183.0	70.19999999999999	0.673076923077	over	0	1	1	1	1	1	0	1				['storage_closet']		
33	301389565	swingo 455	Netherlands	54264	2284980	Politie loc. Zonnenhorst	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	13.8	15.0	13.2	0.0888888888889	under	1	1	1	1	0	1	1	0				['other_in_proximity', 'skills_in_team']	1642.2	
